features,model,r2_score,mae
"('salary', 'salary_currency', 'remote_ratio')",GradientBoosting,0.9939054599336544,1833.8471400391386
"('work_year', 'experience_level', 'job_title', 'salary', 'salary_currency', 'company_size')",GradientBoosting,0.9939037009259458,1740.94350794532
"('work_year', 'experience_level', 'employment_type', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",GradientBoosting,0.9938941653271401,1744.1164480060672
"('experience_level', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",GradientBoosting,0.9938786325395973,1829.5215164579097
"('job_title', 'salary', 'salary_currency', 'remote_ratio')",GradientBoosting,0.9938695097031759,1829.430744246502
"('work_year', 'experience_level', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",GradientBoosting,0.9938582263296719,1743.3761737722782
"('job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",CatBoost,0.9938540410237303,1623.5289033384263
"('work_year', 'employment_type', 'salary', 'salary_currency')",CatBoost,0.9938534530566336,1351.7439102968806
"('experience_level', 'employment_type', 'salary', 'salary_currency', 'employee_residence', 'remote_ratio')",CatBoost,0.9938490942040842,1863.2747340404514
"('work_year', 'employment_type', 'job_title', 'salary', 'salary_currency', 'company_size')",CatBoost,0.9938488863548143,1408.838452635529
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'company_size')",GradientBoosting,0.993830503466277,1762.7585020235676
"('work_year', 'experience_level', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",GradientBoosting,0.9938283003659594,1763.7757389361338
"('work_year', 'experience_level', 'employment_type', 'salary', 'salary_currency', 'company_size')",GradientBoosting,0.9938186574592711,1764.310663608249
"('work_year', 'experience_level', 'salary', 'salary_currency', 'company_size')",GradientBoosting,0.9938031892956669,1748.376563327431
"('experience_level', 'employment_type', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",GradientBoosting,0.993795101128254,1833.5959427932826
"('experience_level', 'employment_type', 'salary', 'salary_currency', 'company_size')",ExtraTrees,0.9937945907273352,962.3912179487178
"('job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",GradientBoosting,0.9937851796673964,1815.463628546062
"('work_year', 'experience_level', 'job_title', 'salary', 'salary_currency', 'remote_ratio')",GradientBoosting,0.9937811598569805,1758.2485501414824
"('employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_location')",CatBoost,0.9937701641159056,2005.1022929143853
"('salary', 'salary_currency')",CatBoost,0.9937613165582585,1493.1235591347252
"('employment_type', 'job_title', 'salary', 'salary_currency', 'company_size')",GradientBoosting,0.9937555676587712,1847.463574267992
"('experience_level', 'job_title', 'salary', 'salary_currency', 'company_size')",GradientBoosting,0.9937370593044295,1844.995749685904
"('work_year', 'employment_type', 'salary', 'salary_currency', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.9937113301894166,1674.7840350863792
"('employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio')",CatBoost,0.9936816137641656,1748.4982388645853
"('experience_level', 'salary', 'salary_currency', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.9936422565376956,1858.5577837840315
"('job_title', 'salary', 'salary_currency')",CatBoost,0.9935915790028247,1603.6835421454214
"('experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'employee_residence')",GradientBoosting,0.9935485819185703,2018.1531635826093
"('experience_level', 'job_title', 'salary', 'salary_currency')",CatBoost,0.9935372925142558,1686.8765856045259
"('experience_level', 'salary', 'salary_currency', 'remote_ratio')",CatBoost,0.9935235000470674,1705.1873917787027
"('work_year', 'employment_type', 'salary', 'salary_currency', 'remote_ratio')",CatBoost,0.9933934922208973,1437.2296166173562
"('work_year', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_location')",CatBoost,0.9933797285024152,1795.920209061295
"('experience_level', 'salary', 'salary_currency', 'employee_residence', 'remote_ratio', 'company_size')",CatBoost,0.9933757028443594,1957.8128982810936
"('experience_level', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",ExtraTrees,0.9933462317202495,1126.9329567307686
"('salary', 'salary_currency', 'company_location', 'company_size')",CatBoost,0.9933443271274744,1699.368256513758
"('work_year', 'salary', 'salary_currency', 'company_location', 'company_size')",CatBoost,0.993339395433564,1662.8865542918234
"('experience_level', 'employment_type', 'salary', 'salary_currency', 'remote_ratio', 'company_location')",CatBoost,0.9933336533651798,1955.6985012057912
